run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
67,67020320,0.2,0,300,2,100,500,200,-10,2.061588782087618,1.5885859903457542,0.1202466598150051,1,1.0,103.428,1.0629804727646457,-0.0629804727646454,0.280095422467313,0.0231240994434926,0.9460843409037216,0.4648829431438127
68,68020320,0.2,0,300,2,100,500,200,-10,3.87437369851102,4.209311045773274,0.1228600201409869,11,1.0,94.03600000000002,0.9469889224572006,0.0530110775427994,0.4048242440383281,0.2884714964815426,0.9810288967468912,0.7391304347826086
69,69020320,0.2,0,300,2,100,500,200,-10,1.8223028106644703,2.65406647411744,0.1054279749478078,21,0.94,94.34199999999996,0.9847807933194151,0.0152192066805848,0.4274716023582683,0.0244227889878487,0.9547738405890264,0.31438127090301
70,70020320,0.2,0,300,2,100,500,200,-10,1.0896860231891343,1.3706807696198806,0.1754574811625404,5,1.0,92.32,0.9937567276641548,0.006243272335845,0.4894258453458056,0.3154191458208504,0.9717908418252446,0.1036789297658862
71,71020320,0.2,0,300,2,100,500,200,-10,3.627627185274431,2.608611361622038,0.5941375422773394,3,1.0,89.566,1.0097632468996618,-0.0097632468996617,0.3522672824381293,0.1289884480110482,0.9490405574968884,0.5284280936454849
72,72020320,0.2,0,300,2,100,500,200,-10,1.3490754159553071,1.367022504243819,0.0936490850376749,7,0.05,97.696,1.0516254036598491,-0.0516254036598491,0.2582605124572636,0.2422097878500799,0.968999203791005,0.1438127090301003
73,73020320,0.2,0,300,2,100,500,200,-10,2.7603824954028,2.6728665557699793,0.2460233297985154,4,1.0,99.366,1.0537221633085896,-0.0537221633085895,0.4746816930273214,0.162049612550074,0.9608985279819944,0.4481605351170568
74,74020320,0.2,0,300,2,100,500,200,-10,3.495590231338656,4.572586740799364,0.3273871983210913,8,1.0,101.17,1.061594963273872,-0.0615949632738719,0.3525481752181869,0.0897670045982884,0.959218064910041,0.6956521739130435
75,75020320,0.2,0,300,2,100,500,200,-10,1.208176169636762,1.3953928283228143,0.1086519114688129,6,1.0,104.952,1.0558551307847084,-0.0558551307847083,0.2616869301572919,0.2650838060857899,0.9573623238884686,0.0969899665551839
76,76020320,0.2,0,300,2,100,500,200,-10,2.793030763663958,2.97577063370861,0.3779128672745694,16,1.0,104.256,1.0562917933130698,-0.0562917933130697,0.4280717204989928,0.084197872950054,0.9499734426933631,0.5050167224080268
77,77020320,0.2,0,300,2,100,500,200,-10,2.847200744088041,3.4241797951151196,0.1468459152016546,2,1.0,86.24600000000001,0.8918924508790073,0.1081075491209927,0.1721661277119345,0.1197798198401508,0.942689610935644,0.7625418060200669
78,78020320,0.2,0,300,2,100,500,200,-10,5.341037471627003,4.313528821222212,0.459205020920502,117,1.0,101.564,1.0623849372384937,-0.0623849372384937,0.3301048869206113,0.1052651014525863,0.9535917853482868,0.6287625418060201
79,79020320,0.2,0,300,2,100,500,200,-10,2.269656893183498,2.1095786396321823,0.2298969072164948,5,1.0,99.034,1.0209690721649485,-0.0209690721649484,0.2659855392043349,0.215018495928674,0.9702518794850372,0.3712374581939799
80,80020320,0.2,0,300,2,100,500,200,-10,4.684524742015562,5.078466510430601,0.1089324618736383,20,0.9366666666666666,95.024,1.035119825708061,-0.0351198257080609,0.3070706188930062,0.0368544282799937,0.9355168398749244,0.7558528428093646
81,81020320,0.2,0,300,2,100,500,200,-10,5.3242476545365465,4.882033995763621,0.2877263581488934,8,1.0,95.332,0.9590744466800804,0.0409255533199195,0.2619487709499236,0.2409436847630474,0.9435955720114564,0.782608695652174
82,82020320,0.2,0,300,2,100,500,200,-10,5.3195310608979645,5.4853861737530725,0.4095796676441838,8,1.0,108.86399999999998,1.0641642228739,-0.0641642228739001,0.2978732137339248,0.2041699385778176,0.9739458837563733,0.5117056856187291
83,83020320,0.2,0,300,2,100,500,200,-10,1.9609333528105313,1.618902186718231,0.1022044088176353,14,1.0,106.62999999999998,1.0684368737474947,-0.0684368737474947,0.2298024324537568,0.2334510703447332,0.9501980290670188,0.411371237458194
84,84020320,0.2,0,300,2,100,500,200,-10,2.5298092107468553,2.642512266446476,0.1706349206349206,13,0.7,94.444,0.9369444444444444,0.0630555555555555,0.4091180077587795,0.2902306160357219,0.9540926441893668,0.3745819397993311
85,85020320,0.2,0,300,2,100,500,200,-10,1.527811511288985,1.7001168390354302,0.1965020576131688,44,1.0,103.052,1.0602057613168725,-0.0602057613168722,0.3748688639406364,0.2635258083015324,0.9782390755819116,0.1605351170568562
86,86020320,0.2,0,300,2,100,500,200,-10,3.0943466172042493,2.843799059697069,0.2697628458498023,9,1.0,125.28,1.2379446640316203,-0.2379446640316205,0.3057109296342133,0.2634369137785377,0.967639667526566,0.3678929765886287
87,87020320,0.2,0,300,2,100,500,200,-10,7.23426379122616,7.534482037140316,0.3762886597938144,35,1.0,99.31400000000002,1.023855670103093,-0.0238556701030929,0.0866275350247373,0.1169695525222915,0.9558320796777416,0.5886287625418061
88,88020320,0.2,0,300,2,100,500,200,-10,11.572578385120384,12.746423472078336,0.5247035573122529,18,0.79,99.566,0.9838537549407116,0.0161462450592885,0.3825901399203734,0.0499902680977501,0.9484034255830992,0.9966555183946488
89,89020320,0.2,0,300,2,100,500,200,-10,1.084867243121323,1.4672041230897714,0.1363211951447245,170,0.4,104.998,0.980373482726424,0.0196265172735761,0.4055847297691589,0.1239224562302567,0.9673789186704244,0.2508361204013378
90,90020320,0.2,0,300,2,100,500,200,-10,3.7075507916475305,2.9416770149448475,0.1761252446183953,18,0.58,102.19,0.9999021526418786,9.784735812135016e-05,0.1992007503560339,0.2443354101615506,0.9664364177555236,0.6086956521739131
91,91020320,0.2,0,300,2,100,500,200,-10,0.5969535479886976,0.7158782487853332,0.0988142292490118,8,1.0,100.308,0.9911857707509882,0.0088142292490117,0.3360283434590564,0.2288758911053924,0.968766093393942,0.0
